"time_utc","time_local","value","metric"
"2026-06-11 15:24:44","2026-06-11 23:24:44","1.38060074676633",""
"2026-06-11 15:24:59","2026-06-11 23:24:59","1.66280581294594",""
"2026-06-11 15:25:14","2026-06-11 23:25:14","1.38509233948841",""
"2026-06-11 15:25:29","2026-06-11 23:25:29","1.91458333333364",""
"2026-06-11 15:25:44","2026-06-11 23:25:44","1.6285504733961",""
"2026-06-11 15:25:59","2026-06-11 23:25:59","1.45000000000058",""
"2026-06-11 15:26:14","2026-06-11 23:26:14","1.4788485899062",""
"2026-06-11 15:26:29","2026-06-11 23:26:29","1.47916666666618",""
"2026-06-11 15:26:44","2026-06-11 23:26:44","1.38060074676634",""
"2026-06-11 15:26:59","2026-06-11 23:26:59","1.47740150656649",""
"2026-06-11 15:27:14","2026-06-11 23:27:14","1.36777355471108",""
"2026-06-11 15:27:29","2026-06-11 23:27:29","1.73958333333284",""
"2026-06-11 15:27:44","2026-06-11 23:27:44","1.57468831255401",""
"2026-06-11 15:27:59","2026-06-11 23:27:59","1.61666666666748",""
"2026-06-11 15:28:14","2026-06-11 23:28:14","1.50385025668361",""
"2026-06-11 15:28:29","2026-06-11 23:28:29","1.55624999999986",""
"2026-06-11 15:28:44","2026-06-11 23:28:44","1.56187491665544",""
"2026-06-11 15:28:59","2026-06-11 23:28:59","1.55416666666686",""
"2026-06-11 15:29:14","2026-06-11 23:29:14","1.52676845122943",""
"2026-06-11 15:29:29","2026-06-11 23:29:29","1.39791666666724",""
"2026-06-11 15:29:44","2026-06-11 23:29:44","1.44102547006297",""
"2026-06-11 15:29:59","2026-06-11 23:29:59","1.61250000000014",""
"2026-06-11 15:30:14","2026-06-11 23:30:14","1.58510567371145",""
"2026-06-11 15:30:29","2026-06-11 23:30:29","1.73749999999984",""
"2026-06-11 15:30:44","2026-06-11 23:30:44","1.44967997866523",""
"2026-06-11 15:30:59","2026-06-11 23:30:59","1.40625000000019",""
"2026-06-11 15:31:14","2026-06-11 23:31:14","1.48686491532162",""
"2026-06-11 15:31:29","2026-06-11 23:31:29","1.53750000000004",""
"2026-06-11 15:31:44","2026-06-11 23:31:44","1.57260484032287",""
"2026-06-11 15:31:59","2026-06-11 23:31:59","1.58749999999979",""
"2026-06-11 15:32:14","2026-06-11 23:32:14","1.59521269502608",""
"2026-06-11 15:32:29","2026-06-11 23:32:29","1.56666666666696",""
"2026-06-11 15:32:44","2026-06-11 23:32:44","1.43477463661817",""
"2026-06-11 15:32:59","2026-06-11 23:32:59","1.43573761749229",""
"2026-06-11 15:33:14","2026-06-11 23:33:14","1.55562408321085",""
"2026-06-11 15:33:29","2026-06-11 23:33:29","1.44374999999988",""
"2026-06-11 15:33:44","2026-06-11 23:33:44","1.66636109074009",""
"2026-06-11 15:33:59","2026-06-11 23:33:59","1.55416666666591",""
"2026-06-11 15:34:14","2026-06-11 23:34:14","1.45176345089654",""
"2026-06-11 15:34:29","2026-06-11 23:34:29","1.42051136742515",""
"2026-06-11 15:34:44","2026-06-11 23:34:44","1.44134608973869",""
"2026-06-11 15:34:59","2026-06-11 23:34:59","1.64583333333382",""
"2026-06-11 15:35:14","2026-06-11 23:35:14","1.58093872924803",""
"2026-06-11 15:35:29","2026-06-11 23:35:29","1.78541666666697",""
"2026-06-11 15:35:44","2026-06-11 23:35:44","1.50385025668339",""
"2026-06-11 15:35:59","2026-06-11 23:35:59","1.45176345089674",""
"2026-06-11 15:36:14","2026-06-11 23:36:14","1.42435658087793",""
"2026-06-11 15:36:29","2026-06-11 23:36:29","1.42499999999948",""
"2026-06-11 15:36:44","2026-06-11 23:36:44","1.49968331222129",""
