"time_utc","time_local","value","metric"
"2026-06-11 17:26:57","2026-06-12 01:26:57","18710528","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:27:12","2026-06-12 01:27:12","19062784","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:27:27","2026-06-12 01:27:27","18866176","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:27:42","2026-06-12 01:27:42","18784256","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:27:57","2026-06-12 01:27:57","18931712","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:28:12","2026-06-12 01:28:12","18980864","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:28:27","2026-06-12 01:28:27","18980864","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:28:42","2026-06-12 01:28:42","19136512","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:28:57","2026-06-12 01:28:57","18837504","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:29:12","2026-06-12 01:29:12","19980288","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:29:27","2026-06-12 01:29:27","19980288","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:29:42","2026-06-12 01:29:42","18907136","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:29:57","2026-06-12 01:29:57","18784256","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:30:12","2026-06-12 01:30:12","18767872","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:30:27","2026-06-12 01:30:27","18931712","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:30:42","2026-06-12 01:30:42","19111936","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:30:57","2026-06-12 01:30:57","19111936","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:31:12","2026-06-12 01:31:12","18878464","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:31:27","2026-06-12 01:31:27","18706432","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:31:42","2026-06-12 01:31:42","18403328","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:31:57","2026-06-12 01:31:57","18669568","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:32:12","2026-06-12 01:32:12","18931712","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:32:27","2026-06-12 01:32:27","19173376","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:32:42","2026-06-12 01:32:42","18960384","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:32:57","2026-06-12 01:32:57","24064000","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:33:12","2026-06-12 01:33:12","24088576","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:33:27","2026-06-12 01:33:27","24182784","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:33:42","2026-06-12 01:33:42","24969216","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:33:57","2026-06-12 01:33:57","24227840","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:34:12","2026-06-12 01:34:12","24657920","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:34:27","2026-06-12 01:34:27","24657920","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:34:42","2026-06-12 01:34:42","23912448","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:34:57","2026-06-12 01:34:57","24375296","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:35:12","2026-06-12 01:35:12","24375296","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:35:27","2026-06-12 01:35:27","24047616","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:35:42","2026-06-12 01:35:42","24047616","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:35:57","2026-06-12 01:35:57","24653824","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:36:12","2026-06-12 01:36:12","24481792","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:36:27","2026-06-12 01:36:27","24547328","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:36:42","2026-06-12 01:36:42","24113152","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:36:57","2026-06-12 01:36:57","24113152","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:37:12","2026-06-12 01:37:12","24260608","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:37:27","2026-06-12 01:37:27","24285184","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:37:42","2026-06-12 01:37:42","24506368","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:37:57","2026-06-12 01:37:57","24068096","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:38:12","2026-06-12 01:38:12","24059904","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:38:27","2026-06-12 01:38:27","24354816","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:38:42","2026-06-12 01:38:42","24027136","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:38:57","2026-06-12 01:38:57","24027136","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:39:12","2026-06-12 01:39:12","24109056","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:39:27","2026-06-12 01:39:27","24084480","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:39:42","2026-06-12 01:39:42","24064000","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:39:57","2026-06-12 01:39:57","24674304","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:40:12","2026-06-12 01:40:12","24059904","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:40:27","2026-06-12 01:40:27","24104960","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:40:42","2026-06-12 01:40:42","24236032","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:40:57","2026-06-12 01:40:57","23957504","pod=frontend-76c94f7cfb-jkmgk"
"2026-06-11 17:41:12","2026-06-12 01:41:12","24346624","pod=frontend-76c94f7cfb-jkmgk"
