"time_utc","time_local","value","metric"
"2026-06-11 17:26:57","2026-06-12 01:26:57","94556160","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:27:12","2026-06-12 01:27:12","94556160","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:27:27","2026-06-12 01:27:27","94564352","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:27:42","2026-06-12 01:27:42","94564352","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:27:57","2026-06-12 01:27:57","94445568","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:28:12","2026-06-12 01:28:12","94445568","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:28:27","2026-06-12 01:28:27","94453760","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:28:42","2026-06-12 01:28:42","94453760","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:28:57","2026-06-12 01:28:57","94453760","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:29:12","2026-06-12 01:29:12","94453760","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:29:27","2026-06-12 01:29:27","94453760","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:29:42","2026-06-12 01:29:42","94478336","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:29:57","2026-06-12 01:29:57","94478336","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:30:12","2026-06-12 01:30:12","94478336","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:30:27","2026-06-12 01:30:27","94478336","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:30:42","2026-06-12 01:30:42","94507008","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:30:57","2026-06-12 01:30:57","94777344","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:31:12","2026-06-12 01:31:12","94765056","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:31:27","2026-06-12 01:31:27","94511104","pod=adservice-7bb8787db5-x75h9"
"2026-06-11 17:31:42","2026-06-12 01:31:42","94633984","pod=adservice-7bb8787db5-x75h9"
