"time_utc","time_local","value","metric"
"2026-06-11 16:35:00","2026-06-12 00:35:00","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:35:15","2026-06-12 00:35:15","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:35:30","2026-06-12 00:35:30","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:35:45","2026-06-12 00:35:45","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:36:00","2026-06-12 00:36:00","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:36:15","2026-06-12 00:36:15","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:36:30","2026-06-12 00:36:30","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:36:45","2026-06-12 00:36:45","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:37:00","2026-06-12 00:37:00","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
"2026-06-11 16:37:15","2026-06-12 00:37:15","1","__name__=kube_pod_status_ready;condition=true;instance=kube-state-metrics.monitoring.svc.cluster.local:8080;job=kube-state-metrics;namespace=online-boutique;pod=frontend-76c94f7cfb-jkmgk;uid=9e4174b2-637d-464e-877b-9bed13b96eaf"
