"time_utc","time_local","value","metric"
"2026-06-11 17:26:57","2026-06-12 01:26:57","1.55000000000012",""
"2026-06-11 17:27:12","2026-06-12 01:27:12","1.55177011800932",""
"2026-06-11 17:27:27","2026-06-12 01:27:27","1.66697220185269",""
"2026-06-11 17:27:42","2026-06-12 01:27:42","1.48894852646962",""
"2026-06-11 17:27:57","2026-06-12 01:27:57","1.46874999999946",""
"2026-06-11 17:28:12","2026-06-12 01:28:12","1.50770102680418",""
"2026-06-11 17:28:27","2026-06-12 01:28:27","1.58749999999942",""
"2026-06-11 17:28:42","2026-06-12 01:28:42","1.55177011800817",""
"2026-06-11 17:28:57","2026-06-12 01:28:57","1.64166666666689",""
"2026-06-11 17:29:12","2026-06-12 01:29:12","1.57468831255535",""
"2026-06-11 17:29:27","2026-06-12 01:29:27","1.61249999999844",""
"2026-06-11 17:29:42","2026-06-12 01:29:42","1.56812575010119",""
"2026-06-11 17:29:57","2026-06-12 01:29:57","1.79999999999835",""
"2026-06-11 17:30:12","2026-06-12 01:30:12","1.6535538071739",""
"2026-06-11 17:30:27","2026-06-12 01:30:27","1.53156456236396",""
"2026-06-11 17:30:42","2026-06-12 01:30:42","1.53301886792441",""
"2026-06-11 17:30:57","2026-06-12 01:30:57","1.66041666666653",""
"2026-06-11 17:31:12","2026-06-12 01:31:12","1.90179345289645",""
"2026-06-11 17:31:27","2026-06-12 01:31:27","1.65386025735035",""
"2026-06-11 17:31:42","2026-06-12 01:31:42","1.56427095139734",""
"2026-06-11 17:31:57","2026-06-12 01:31:57","1.63333333333338",""
"2026-06-11 17:32:12","2026-06-12 01:32:12","1.52260150676639",""
"2026-06-11 17:32:27","2026-06-12 01:32:27","1.51426761784218",""
"2026-06-11 17:32:42","2026-06-12 01:32:42","1.54103880517423",""
"2026-06-11 17:32:57","2026-06-12 01:32:57","2.15027331511288",""
"2026-06-11 17:33:12","2026-06-12 01:33:12","2.23749999999956",""
"2026-06-11 17:33:27","2026-06-12 01:33:27","2.06013734248914",""
"2026-06-11 17:33:42","2026-06-12 01:33:42","1.97471498099915",""
"2026-06-11 17:33:57","2026-06-12 01:33:57","2.14139275951757",""
"2026-06-11 17:34:12","2026-06-12 01:34:12","1.96429761984116",""
"2026-06-11 17:34:27","2026-06-12 01:34:27","2.09819345376879",""
"2026-06-11 17:34:42","2026-06-12 01:34:42","2.0286038138413",""
"2026-06-11 17:34:57","2026-06-12 01:34:57","2.31250000000122",""
"2026-06-11 17:35:12","2026-06-12 01:35:12","1.96401186824905",""
"2026-06-11 17:35:27","2026-06-12 01:35:27","2.21693553763057",""
"2026-06-11 17:35:42","2026-06-12 01:35:42","1.96846456430457",""
"2026-06-11 17:35:57","2026-06-12 01:35:57","2.07708333333283",""
"2026-06-11 17:36:12","2026-06-12 01:36:12","2.34114548606541",""
"2026-06-11 17:36:27","2026-06-12 01:36:27","2.10624999999861",""
"2026-06-11 17:36:42","2026-06-12 01:36:42","2.02235298039823",""
"2026-06-11 17:36:57","2026-06-12 01:36:57","2.12735817612204",""
"2026-06-11 17:37:12","2026-06-12 01:37:12","2.04763650909918",""
"2026-06-11 17:37:27","2026-06-12 01:37:27","2.10180678712006",""
"2026-06-11 17:37:42","2026-06-12 01:37:42","1.98513234215718",""
"2026-06-11 17:37:57","2026-06-12 01:37:57","1.49968331221959",""
"2026-06-11 17:38:12","2026-06-12 01:38:12","1.4413460897387",""
"2026-06-11 17:38:27","2026-06-12 01:38:27","1.51458333333457",""
"2026-06-11 17:38:42","2026-06-12 01:38:42","1.36842456163715",""
"2026-06-11 17:38:57","2026-06-12 01:38:57","1.52708333333295",""
"2026-06-11 17:39:12","2026-06-12 01:39:12","1.38509233948972",""
"2026-06-11 17:39:27","2026-06-12 01:39:27","1.44791666666683",""
"2026-06-11 17:39:42","2026-06-12 01:39:42","1.37467497833096",""
"2026-06-11 17:39:57","2026-06-12 01:39:57","1.64344289619349",""
"2026-06-11 17:40:12","2026-06-12 01:40:12","1.42884525635182",""
"2026-06-11 17:40:27","2026-06-12 01:40:27","1.47676511767355",""
"2026-06-11 17:40:42","2026-06-12 01:40:42","1.4250000000008",""
"2026-06-11 17:40:57","2026-06-12 01:40:57","1.51041666666629",""
"2026-06-11 17:41:12","2026-06-12 01:41:12","1.69522603013788",""
"2026-06-11 17:41:27","2026-06-12 01:41:27","1.47291666666621",""
"2026-06-11 17:41:42","2026-06-12 01:41:42","1.44759650643329",""
"2026-06-11 17:41:57","2026-06-12 01:41:57","1.4979166666664",""
"2026-06-11 17:42:12","2026-06-12 01:42:12","1.37259150609982",""
"2026-06-11 17:42:27","2026-06-12 01:42:27","1.47500000000035",""
"2026-06-11 17:42:42","2026-06-12 01:42:42","1.43477463661723",""
"2026-06-11 17:42:57","2026-06-12 01:42:57","1.55833333333475",""
"2026-06-11 17:43:12","2026-06-12 01:43:12","1.35175678378531",""
"2026-06-11 17:43:27","2026-06-12 01:43:27","1.46458333333122",""
"2026-06-11 17:43:42","2026-06-12 01:43:42","1.38509233949201",""
"2026-06-11 17:43:57","2026-06-12 01:43:57","1.50176678445229",""
"2026-06-11 17:44:12","2026-06-12 01:44:12","1.41634442296227",""
"2026-06-11 17:44:27","2026-06-12 01:44:27","1.44583333333156",""
"2026-06-11 17:44:42","2026-06-12 01:44:42","1.42676178411993",""
"2026-06-11 17:44:57","2026-06-12 01:44:57","1.57708333333291",""
"2026-06-11 17:45:12","2026-06-12 01:45:12","1.39935324709975",""
"2026-06-11 17:45:27","2026-06-12 01:45:27","1.45448636757526",""
"2026-06-11 17:45:42","2026-06-12 01:45:42","1.34758983932375",""
"2026-06-11 17:45:57","2026-06-12 01:45:57","1.47676511767393",""
"2026-06-11 17:46:12","2026-06-12 01:46:12","1.75386692446178",""
"2026-06-11 17:46:27","2026-06-12 01:46:27","1.50624999999991",""
"2026-06-11 17:46:42","2026-06-12 01:46:42","1.3955097006451",""
"2026-06-11 17:46:57","2026-06-12 01:46:57","1.4666666666676",""
"2026-06-11 17:47:12","2026-06-12 01:47:12","1.3514301906923",""
"2026-06-11 17:47:27","2026-06-12 01:47:27","1.45208333333321",""
"2026-06-11 17:47:42","2026-06-12 01:47:42","1.31425428361893",""
"2026-06-11 17:47:57","2026-06-12 01:47:57","1.54374999999921",""
"2026-06-11 17:48:12","2026-06-12 01:48:12","1.3705080338698",""
"2026-06-11 17:48:27","2026-06-12 01:48:27","1.48749999999989",""
"2026-06-11 17:48:42","2026-06-12 01:48:42","1.32851046806327",""
"2026-06-11 17:48:57","2026-06-12 01:48:57","1.41249999999898",""
"2026-06-11 17:49:12","2026-06-12 01:49:12","1.28508567237831",""
"2026-06-11 17:49:27","2026-06-12 01:49:27","1.3937500000001",""
