"unix_time","time_utc","time_local","value","metric"
"1781206714","2026-06-11 19:38:34","2026-06-12 03:38:34","12734464",""
"1781206729","2026-06-11 19:38:49","2026-06-12 03:38:49","12734464",""
"1781206744","2026-06-11 19:39:04","2026-06-12 03:39:04","12738560",""
"1781206759","2026-06-11 19:39:19","2026-06-12 03:39:19","12738560",""
"1781206774","2026-06-11 19:39:34","2026-06-12 03:39:34","12582912",""
"1781206789","2026-06-11 19:39:49","2026-06-12 03:39:49","12587008",""
"1781206804","2026-06-11 19:40:04","2026-06-12 03:40:04","12587008",""
"1781206819","2026-06-11 19:40:19","2026-06-12 03:40:19","12587008",""
"1781206834","2026-06-11 19:40:34","2026-06-12 03:40:34","12619776",""
"1781206849","2026-06-11 19:40:49","2026-06-12 03:40:49","12619776",""
"1781206864","2026-06-11 19:41:04","2026-06-12 03:41:04","12619776",""
"1781206879","2026-06-11 19:41:19","2026-06-12 03:41:19","12619776",""
"1781206894","2026-06-11 19:41:34","2026-06-12 03:41:34","12615680",""
"1781206909","2026-06-11 19:41:49","2026-06-12 03:41:49","12746752",""
"1781206924","2026-06-11 19:42:04","2026-06-12 03:42:04","12746752",""
"1781206939","2026-06-11 19:42:19","2026-06-12 03:42:19","12754944",""
"1781206954","2026-06-11 19:42:34","2026-06-12 03:42:34","12746752",""
"1781206969","2026-06-11 19:42:49","2026-06-12 03:42:49","12746752",""
"1781206984","2026-06-11 19:43:04","2026-06-12 03:43:04","12746752",""
"1781206999","2026-06-11 19:43:19","2026-06-12 03:43:19","12746752",""
"1781207014","2026-06-11 19:43:34","2026-06-12 03:43:34","12746752",""
"1781207029","2026-06-11 19:43:49","2026-06-12 03:43:49","12746752",""
"1781207044","2026-06-11 19:44:04","2026-06-12 03:44:04","12742656",""
"1781207059","2026-06-11 19:44:19","2026-06-12 03:44:19","12746752",""
"1781207074","2026-06-11 19:44:34","2026-06-12 03:44:34","13008896",""
"1781207089","2026-06-11 19:44:49","2026-06-12 03:44:49","12746752",""
"1781207104","2026-06-11 19:45:04","2026-06-12 03:45:04","12775424",""
"1781207119","2026-06-11 19:45:19","2026-06-12 03:45:19","12775424",""
"1781207134","2026-06-11 19:45:34","2026-06-12 03:45:34","12775424",""
"1781207149","2026-06-11 19:45:49","2026-06-12 03:45:49","12787712",""
"1781207164","2026-06-11 19:46:04","2026-06-12 03:46:04","12787712",""
"1781207179","2026-06-11 19:46:19","2026-06-12 03:46:19","12967936",""
"1781207194","2026-06-11 19:46:34","2026-06-12 03:46:34","12972032",""
"1781207209","2026-06-11 19:46:49","2026-06-12 03:46:49","12972032",""
"1781207224","2026-06-11 19:47:04","2026-06-12 03:47:04","12972032",""
"1781207239","2026-06-11 19:47:19","2026-06-12 03:47:19","12967936",""
"1781207254","2026-06-11 19:47:34","2026-06-12 03:47:34","12984320",""
"1781207269","2026-06-11 19:47:49","2026-06-12 03:47:49","12972032",""
"1781207284","2026-06-11 19:48:04","2026-06-12 03:48:04","12972032",""
"1781207299","2026-06-11 19:48:19","2026-06-12 03:48:19","12972032",""
"1781207314","2026-06-11 19:48:34","2026-06-12 03:48:34","12722176",""
"1781207329","2026-06-11 19:48:49","2026-06-12 03:48:49","12713984",""
"1781207344","2026-06-11 19:49:04","2026-06-12 03:49:04","12713984",""
"1781207359","2026-06-11 19:49:19","2026-06-12 03:49:19","12713984",""
"1781207374","2026-06-11 19:49:34","2026-06-12 03:49:34","12713984",""
"1781207389","2026-06-11 19:49:49","2026-06-12 03:49:49","12709888",""
"1781207404","2026-06-11 19:50:04","2026-06-12 03:50:04","12709888",""
"1781207419","2026-06-11 19:50:19","2026-06-12 03:50:19","12836864",""
"1781207434","2026-06-11 19:50:34","2026-06-12 03:50:34","12840960",""
"1781207449","2026-06-11 19:50:49","2026-06-12 03:50:49","12845056",""
"1781207464","2026-06-11 19:51:04","2026-06-12 03:51:04","12840960",""
"1781207479","2026-06-11 19:51:19","2026-06-12 03:51:19","12840960",""
"1781207494","2026-06-11 19:51:34","2026-06-12 03:51:34","12840960",""
"1781207509","2026-06-11 19:51:49","2026-06-12 03:51:49","12886016",""
"1781207524","2026-06-11 19:52:04","2026-06-12 03:52:04","12886016",""
"1781207539","2026-06-11 19:52:19","2026-06-12 03:52:19","12886016",""
"1781207554","2026-06-11 19:52:34","2026-06-12 03:52:34","12955648",""
"1781207569","2026-06-11 19:52:49","2026-06-12 03:52:49","12955648",""
"1781207584","2026-06-11 19:53:04","2026-06-12 03:53:04","12980224",""
"1781207599","2026-06-11 19:53:19","2026-06-12 03:53:19","12816384",""
"1781207614","2026-06-11 19:53:34","2026-06-12 03:53:34","12816384",""
"1781207629","2026-06-11 19:53:49","2026-06-12 03:53:49","12816384",""
"1781207644","2026-06-11 19:54:04","2026-06-12 03:54:04","12816384",""
"1781207659","2026-06-11 19:54:19","2026-06-12 03:54:19","12816384",""
"1781207674","2026-06-11 19:54:34","2026-06-12 03:54:34","12816384",""
"1781207689","2026-06-11 19:54:49","2026-06-12 03:54:49","12816384",""
"1781207704","2026-06-11 19:55:04","2026-06-12 03:55:04","13082624",""
"1781207719","2026-06-11 19:55:19","2026-06-12 03:55:19","12881920",""
"1781207734","2026-06-11 19:55:34","2026-06-12 03:55:34","12881920",""
"1781207749","2026-06-11 19:55:49","2026-06-12 03:55:49","12881920",""
