"unix_time","time_utc","time_local","value","metric"
"1781206714","2026-06-11 19:38:34","2026-06-12 03:38:34","42442752",""
"1781206729","2026-06-11 19:38:49","2026-06-12 03:38:49","42442752",""
"1781206744","2026-06-11 19:39:04","2026-06-12 03:39:04","42086400",""
"1781206759","2026-06-11 19:39:19","2026-06-12 03:39:19","42496000",""
"1781206774","2026-06-11 19:39:34","2026-06-12 03:39:34","42868736",""
"1781206789","2026-06-11 19:39:49","2026-06-12 03:39:49","42721280",""
"1781206804","2026-06-11 19:40:04","2026-06-12 03:40:04","43249664",""
"1781206819","2026-06-11 19:40:19","2026-06-12 03:40:19","42889216",""
"1781206834","2026-06-11 19:40:34","2026-06-12 03:40:34","42561536",""
"1781206849","2026-06-11 19:40:49","2026-06-12 03:40:49","43548672",""
"1781206864","2026-06-11 19:41:04","2026-06-12 03:41:04","42631168",""
"1781206879","2026-06-11 19:41:19","2026-06-12 03:41:19","43122688",""
"1781206894","2026-06-11 19:41:34","2026-06-12 03:41:34","43753472",""
"1781206909","2026-06-11 19:41:49","2026-06-12 03:41:49","43630592",""
"1781206924","2026-06-11 19:42:04","2026-06-12 03:42:04","43847680",""
"1781206939","2026-06-11 19:42:19","2026-06-12 03:42:19","43814912",""
"1781206954","2026-06-11 19:42:34","2026-06-12 03:42:34","43438080",""
"1781206969","2026-06-11 19:42:49","2026-06-12 03:42:49","43892736",""
"1781206984","2026-06-11 19:43:04","2026-06-12 03:43:04","43892736",""
"1781206999","2026-06-11 19:43:19","2026-06-12 03:43:19","43536384",""
"1781207014","2026-06-11 19:43:34","2026-06-12 03:43:34","43536384",""
"1781207029","2026-06-11 19:43:49","2026-06-12 03:43:49","44130304",""
"1781207044","2026-06-11 19:44:04","2026-06-12 03:44:04","44728320",""
"1781207059","2026-06-11 19:44:19","2026-06-12 03:44:19","44040192",""
"1781207074","2026-06-11 19:44:34","2026-06-12 03:44:34","44224512",""
"1781207089","2026-06-11 19:44:49","2026-06-12 03:44:49","44421120",""
"1781207104","2026-06-11 19:45:04","2026-06-12 03:45:04","44421120",""
"1781207119","2026-06-11 19:45:19","2026-06-12 03:45:19","44724224",""
"1781207134","2026-06-11 19:45:34","2026-06-12 03:45:34","44724224",""
"1781207149","2026-06-11 19:45:49","2026-06-12 03:45:49","45424640",""
"1781207164","2026-06-11 19:46:04","2026-06-12 03:46:04","45178880",""
"1781207179","2026-06-11 19:46:19","2026-06-12 03:46:19","45363200",""
"1781207194","2026-06-11 19:46:34","2026-06-12 03:46:34","45903872",""
"1781207209","2026-06-11 19:46:49","2026-06-12 03:46:49","46247936",""
"1781207224","2026-06-11 19:47:04","2026-06-12 03:47:04","46047232",""
"1781207239","2026-06-11 19:47:19","2026-06-12 03:47:19","46047232",""
"1781207254","2026-06-11 19:47:34","2026-06-12 03:47:34","46702592",""
"1781207269","2026-06-11 19:47:49","2026-06-12 03:47:49","46796800",""
"1781207284","2026-06-11 19:48:04","2026-06-12 03:48:04","47333376",""
"1781207299","2026-06-11 19:48:19","2026-06-12 03:48:19","46866432",""
"1781207314","2026-06-11 19:48:34","2026-06-12 03:48:34","47489024",""
"1781207329","2026-06-11 19:48:49","2026-06-12 03:48:49","47620096",""
"1781207344","2026-06-11 19:49:04","2026-06-12 03:49:04","47767552",""
"1781207359","2026-06-11 19:49:19","2026-06-12 03:49:19","47529984",""
"1781207374","2026-06-11 19:49:34","2026-06-12 03:49:34","47783936",""
"1781207389","2026-06-11 19:49:49","2026-06-12 03:49:49","47247360",""
"1781207404","2026-06-11 19:50:04","2026-06-12 03:50:04","47804416",""
"1781207419","2026-06-11 19:50:19","2026-06-12 03:50:19","47804416",""
"1781207434","2026-06-11 19:50:34","2026-06-12 03:50:34","48295936",""
"1781207449","2026-06-11 19:50:49","2026-06-12 03:50:49","47452160",""
"1781207464","2026-06-11 19:51:04","2026-06-12 03:51:04","47550464",""
"1781207479","2026-06-11 19:51:19","2026-06-12 03:51:19","47632384",""
