"unix_time","time_utc","time_local","value","metric"
"1781206714","2026-06-11 19:38:34","2026-06-12 03:38:34","23998464",""
"1781206729","2026-06-11 19:38:49","2026-06-12 03:38:49","23998464",""
"1781206744","2026-06-11 19:39:04","2026-06-12 03:39:04","24219648",""
"1781206759","2026-06-11 19:39:19","2026-06-12 03:39:19","24055808",""
"1781206774","2026-06-11 19:39:34","2026-06-12 03:39:34","24170496",""
"1781206789","2026-06-11 19:39:49","2026-06-12 03:39:49","24170496",""
"1781206804","2026-06-11 19:40:04","2026-06-12 03:40:04","23924736",""
"1781206819","2026-06-11 19:40:19","2026-06-12 03:40:19","24010752",""
"1781206834","2026-06-11 19:40:34","2026-06-12 03:40:34","24100864",""
"1781206849","2026-06-11 19:40:49","2026-06-12 03:40:49","24100864",""
"1781206864","2026-06-11 19:41:04","2026-06-12 03:41:04","24072192",""
"1781206879","2026-06-11 19:41:19","2026-06-12 03:41:19","24072192",""
"1781206894","2026-06-11 19:41:34","2026-06-12 03:41:34","23662592",""
"1781206909","2026-06-11 19:41:49","2026-06-12 03:41:49","23928832",""
"1781206924","2026-06-11 19:42:04","2026-06-12 03:42:04","23928832",""
"1781206939","2026-06-11 19:42:19","2026-06-12 03:42:19","23900160",""
"1781206954","2026-06-11 19:42:34","2026-06-12 03:42:34","24334336",""
"1781206969","2026-06-11 19:42:49","2026-06-12 03:42:49","23945216",""
"1781206984","2026-06-11 19:43:04","2026-06-12 03:43:04","24309760",""
"1781206999","2026-06-11 19:43:19","2026-06-12 03:43:19","23699456",""
"1781207014","2026-06-11 19:43:34","2026-06-12 03:43:34","23990272",""
"1781207029","2026-06-11 19:43:49","2026-06-12 03:43:49","23957504",""
"1781207044","2026-06-11 19:44:04","2026-06-12 03:44:04","23834624",""
"1781207059","2026-06-11 19:44:19","2026-06-12 03:44:19","24035328",""
"1781207074","2026-06-11 19:44:34","2026-06-12 03:44:34","23695360",""
"1781207089","2026-06-11 19:44:49","2026-06-12 03:44:49","23752704",""
"1781207104","2026-06-11 19:45:04","2026-06-12 03:45:04","23904256",""
"1781207119","2026-06-11 19:45:19","2026-06-12 03:45:19","23896064",""
