"unix_time","time_utc","time_local","value","metric"
"1781206714","2026-06-11 19:38:34","2026-06-12 03:38:34","10645504",""
"1781206729","2026-06-11 19:38:49","2026-06-12 03:38:49","10645504",""
"1781206744","2026-06-11 19:39:04","2026-06-12 03:39:04","10723328",""
"1781206759","2026-06-11 19:39:19","2026-06-12 03:39:19","10727424",""
"1781206774","2026-06-11 19:39:34","2026-06-12 03:39:34","10473472",""
"1781206789","2026-06-11 19:39:49","2026-06-12 03:39:49","10473472",""
"1781206804","2026-06-11 19:40:04","2026-06-12 03:40:04","10473472",""
"1781206819","2026-06-11 19:40:19","2026-06-12 03:40:19","10473472",""
"1781206834","2026-06-11 19:40:34","2026-06-12 03:40:34","10489856",""
"1781206849","2026-06-11 19:40:49","2026-06-12 03:40:49","10489856",""
"1781206864","2026-06-11 19:41:04","2026-06-12 03:41:04","10489856",""
"1781206879","2026-06-11 19:41:19","2026-06-12 03:41:19","10489856",""
"1781206894","2026-06-11 19:41:34","2026-06-12 03:41:34","10768384",""
"1781206909","2026-06-11 19:41:49","2026-06-12 03:41:49","10772480",""
"1781206924","2026-06-11 19:42:04","2026-06-12 03:42:04","10776576",""
"1781206939","2026-06-11 19:42:19","2026-06-12 03:42:19","10424320",""
"1781206954","2026-06-11 19:42:34","2026-06-12 03:42:34","10948608",""
"1781206969","2026-06-11 19:42:49","2026-06-12 03:42:49","10424320",""
"1781206984","2026-06-11 19:43:04","2026-06-12 03:43:04","10424320",""
"1781206999","2026-06-11 19:43:19","2026-06-12 03:43:19","10424320",""
"1781207014","2026-06-11 19:43:34","2026-06-12 03:43:34","10457088",""
"1781207029","2026-06-11 19:43:49","2026-06-12 03:43:49","10457088",""
"1781207044","2026-06-11 19:44:04","2026-06-12 03:44:04","10219520",""
"1781207059","2026-06-11 19:44:19","2026-06-12 03:44:19","10215424",""
"1781207074","2026-06-11 19:44:34","2026-06-12 03:44:34","10215424",""
"1781207089","2026-06-11 19:44:49","2026-06-12 03:44:49","10293248",""
"1781207104","2026-06-11 19:45:04","2026-06-12 03:45:04","10280960",""
"1781207119","2026-06-11 19:45:19","2026-06-12 03:45:19","10289152",""
"1781207134","2026-06-11 19:45:34","2026-06-12 03:45:34","10289152",""
"1781207149","2026-06-11 19:45:49","2026-06-12 03:45:49","10280960",""
"1781207164","2026-06-11 19:46:04","2026-06-12 03:46:04","10280960",""
"1781207179","2026-06-11 19:46:19","2026-06-12 03:46:19","10293248",""
"1781207194","2026-06-11 19:46:34","2026-06-12 03:46:34","10293248",""
"1781207209","2026-06-11 19:46:49","2026-06-12 03:46:49","10674176",""
"1781207224","2026-06-11 19:47:04","2026-06-12 03:47:04","10682368",""
"1781207239","2026-06-11 19:47:19","2026-06-12 03:47:19","10682368",""
"1781207254","2026-06-11 19:47:34","2026-06-12 03:47:34","10436608",""
"1781207269","2026-06-11 19:47:49","2026-06-12 03:47:49","10436608",""
"1781207284","2026-06-11 19:48:04","2026-06-12 03:48:04","10428416",""
"1781207299","2026-06-11 19:48:19","2026-06-12 03:48:19","10428416",""
"1781207314","2026-06-11 19:48:34","2026-06-12 03:48:34","10567680",""
"1781207329","2026-06-11 19:48:49","2026-06-12 03:48:49","10567680",""
"1781207344","2026-06-11 19:49:04","2026-06-12 03:49:04","10825728",""
"1781207359","2026-06-11 19:49:19","2026-06-12 03:49:19","10678272",""
"1781207374","2026-06-11 19:49:34","2026-06-12 03:49:34","10674176",""
"1781207389","2026-06-11 19:49:49","2026-06-12 03:49:49","10674176",""
"1781207404","2026-06-11 19:50:04","2026-06-12 03:50:04","10674176",""
"1781207419","2026-06-11 19:50:19","2026-06-12 03:50:19","10678272",""
"1781207434","2026-06-11 19:50:34","2026-06-12 03:50:34","10678272",""
"1781207449","2026-06-11 19:50:49","2026-06-12 03:50:49","10678272",""
"1781207464","2026-06-11 19:51:04","2026-06-12 03:51:04","10678272",""
"1781207479","2026-06-11 19:51:19","2026-06-12 03:51:19","10739712",""
"1781207494","2026-06-11 19:51:34","2026-06-12 03:51:34","10739712",""
"1781207509","2026-06-11 19:51:49","2026-06-12 03:51:49","10739712",""
"1781207524","2026-06-11 19:52:04","2026-06-12 03:52:04","10739712",""
"1781207539","2026-06-11 19:52:19","2026-06-12 03:52:19","10493952",""
"1781207554","2026-06-11 19:52:34","2026-06-12 03:52:34","10485760",""
"1781207569","2026-06-11 19:52:49","2026-06-12 03:52:49","10485760",""
"1781207584","2026-06-11 19:53:04","2026-06-12 03:53:04","10485760",""
"1781207599","2026-06-11 19:53:19","2026-06-12 03:53:19","10485760",""
"1781207614","2026-06-11 19:53:34","2026-06-12 03:53:34","10485760",""
"1781207629","2026-06-11 19:53:49","2026-06-12 03:53:49","10485760",""
"1781207644","2026-06-11 19:54:04","2026-06-12 03:54:04","10563584",""
"1781207659","2026-06-11 19:54:19","2026-06-12 03:54:19","10563584",""
"1781207674","2026-06-11 19:54:34","2026-06-12 03:54:34","10563584",""
"1781207689","2026-06-11 19:54:49","2026-06-12 03:54:49","10563584",""
"1781207704","2026-06-11 19:55:04","2026-06-12 03:55:04","10563584",""
"1781207719","2026-06-11 19:55:19","2026-06-12 03:55:19","10563584",""
"1781207734","2026-06-11 19:55:34","2026-06-12 03:55:34","10563584",""
"1781207749","2026-06-11 19:55:49","2026-06-12 03:55:49","10629120",""
"1781207764","2026-06-11 19:56:04","2026-06-12 03:56:04","10891264",""
"1781207779","2026-06-11 19:56:19","2026-06-12 03:56:19","10858496",""
"1781207794","2026-06-11 19:56:34","2026-06-12 03:56:34","10964992",""
"1781207809","2026-06-11 19:56:49","2026-06-12 03:56:49","10964992",""
"1781207824","2026-06-11 19:57:04","2026-06-12 03:57:04","10637312",""
"1781207839","2026-06-11 19:57:19","2026-06-12 03:57:19","10637312",""
"1781207854","2026-06-11 19:57:34","2026-06-12 03:57:34","10637312",""
"1781207869","2026-06-11 19:57:49","2026-06-12 03:57:49","10670080",""
"1781207884","2026-06-11 19:58:04","2026-06-12 03:58:04","10670080",""
"1781207899","2026-06-11 19:58:19","2026-06-12 03:58:19","10670080",""
"1781207914","2026-06-11 19:58:34","2026-06-12 03:58:34","10567680",""
"1781207929","2026-06-11 19:58:49","2026-06-12 03:58:49","10567680",""
"1781207944","2026-06-11 19:59:04","2026-06-12 03:59:04","10706944",""
"1781207959","2026-06-11 19:59:19","2026-06-12 03:59:19","10702848",""
"1781207974","2026-06-11 19:59:34","2026-06-12 03:59:34","10641408",""
"1781207989","2026-06-11 19:59:49","2026-06-12 03:59:49","10637312",""
"1781208004","2026-06-11 20:00:04","2026-06-12 04:00:04","10637312",""
