NAMESPACE         NAME                            TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                           AGE
chaos-testing     chaos-daemon                    ClusterIP      None             <none>        31767/TCP,31766/TCP               17d
chaos-testing     chaos-dashboard                 NodePort       10.110.247.47    <none>        2333:30679/TCP,2334:31655/TCP     17d
chaos-testing     chaos-mesh-controller-manager   ClusterIP      10.104.47.189    <none>        443/TCP,10081/TCP,10080/TCP       17d
chaos-testing     chaos-mesh-dns-server           ClusterIP      10.96.170.212    <none>        53/UDP,53/TCP,9153/TCP,9288/TCP   17d
default           kubernetes                      ClusterIP      10.96.0.1        <none>        443/TCP                           31d
kube-system       kube-dns                        ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP            31d
monitoring        grafana                         NodePort       10.100.76.158    <none>        80:31300/TCP                      17d
monitoring        kube-state-metrics              ClusterIP      None             <none>        8080/TCP,8081/TCP                 17d
monitoring        node-exporter                   ClusterIP      None             <none>        9100/TCP                          17d
monitoring        prometheus                      NodePort       10.102.175.171   <none>        9090:31090/TCP                    17d
online-boutique   adservice                       ClusterIP      10.111.208.183   <none>        9555/TCP                          5h23m
online-boutique   cartservice                     ClusterIP      10.108.169.35    <none>        7070/TCP                          5h23m
online-boutique   checkoutservice                 ClusterIP      10.98.48.73      <none>        5050/TCP                          5h23m
online-boutique   currencyservice                 ClusterIP      10.102.46.107    <none>        7000/TCP                          5h23m
online-boutique   emailservice                    ClusterIP      10.98.177.198    <none>        5000/TCP                          5h23m
online-boutique   frontend                        ClusterIP      10.103.70.249    <none>        80/TCP                            5h23m
online-boutique   frontend-external               LoadBalancer   10.102.115.19    <pending>     80:31990/TCP                      5h23m
online-boutique   paymentservice                  ClusterIP      10.103.110.159   <none>        50051/TCP                         5h23m
online-boutique   productcatalogservice           ClusterIP      10.100.34.53     <none>        3550/TCP                          5h23m
online-boutique   recommendationservice           ClusterIP      10.107.48.116    <none>        8080/TCP                          5h23m
online-boutique   redis-cart                      ClusterIP      10.106.246.69    <none>        6379/TCP                          5h23m
online-boutique   shippingservice                 ClusterIP      10.97.104.219    <none>        50051/TCP                         5h23m
sock-shop         carts                           ClusterIP      10.100.165.231   <none>        80/TCP                            31d
sock-shop         carts-db                        ClusterIP      10.97.165.181    <none>        27017/TCP                         31d
sock-shop         catalogue                       ClusterIP      10.99.220.7      <none>        80/TCP                            31d
sock-shop         catalogue-db                    ClusterIP      10.102.139.159   <none>        3306/TCP                          31d
sock-shop         front-end                       NodePort       10.106.161.14    <none>        80:30001/TCP                      31d
sock-shop         orders                          ClusterIP      10.109.254.151   <none>        80/TCP                            31d
sock-shop         orders-db                       ClusterIP      10.102.101.1     <none>        27017/TCP                         31d
sock-shop         payment                         ClusterIP      10.101.70.187    <none>        80/TCP                            31d
sock-shop         queue-master                    ClusterIP      10.97.196.234    <none>        80/TCP                            31d
sock-shop         rabbitmq                        ClusterIP      10.107.254.180   <none>        5672/TCP,9090/TCP                 31d
sock-shop         session-db                      ClusterIP      10.96.29.211     <none>        6379/TCP                          31d
sock-shop         shipping                        ClusterIP      10.96.58.27      <none>        80/TCP                            31d
sock-shop         user                            ClusterIP      10.109.45.34     <none>        80/TCP                            31d
sock-shop         user-db                         ClusterIP      10.109.146.177   <none>        27017/TCP                         31d
